member_uuid,newsletter_id,delivery_timestamp,open_timestamp,coupon_click_timestamp
c09be717-06a3-bc87-1181-900a098b,2,,,
5f3b9252-1aa1-aeca-9f7b-b434ea64,2,,,
7c097bae-ff3c-8c19-74ff-0091306a,2,,,
7e6cc36c-4457-f329-522d-d2c3d282,2,,,
9ed87780-9c48-7227-b1e8-c5145389,2,1708434016,1708434316,1708434616
eeb701f3-7e29-49fb-6e0d-cfcb8704,2,1708434016,1708434416,
e054fc98-d03f-a893-8c28-e52ea2b2,2,1708434016,,
604edfa7-4339-b51f-59c5-d6b9589a,2,,,
1e15a8c6-31bb-3008-71be-3fbe6a98,2,1708434016,1708434316,1708434616
40a1d64b-f4a9-6a8a-8958-23b902bf,2,1708434016,1708434416,
816a31ff-ca60-7065-83ed-1320d0dc,2,1708434016,,
70a22f06-19bf-d1f1-df02-73a25a62,2,,,
562783fb-c3a9-6a9b-1566-58d7c66b,2,1708434016,1708434316,1708434616
1aba2e3c-6f8a-7ded-0260-726cbf25,2,1708434016,1708434416,
ba2ff995-f41d-9b53-2894-fd8a4e01,2,1708434016,,
141bbb19-fd09-5221-d418-7fbaf93d,2,,,
5088808c-3eb0-5a7f-436f-b6b965be,2,1708434016,1708434316,1708434616
acc5f6c4-087e-29d6-c48b-016e8245,2,1708434016,1708434416,
8531bce1-65bb-4892-d3cd-b4622701,2,1708434016,,
71d27276-3b6f-fb9d-4e9a-d6a166c3,2,,,
209680fe-ca48-227e-e2aa-5657f7b5,2,1708434016,1708434316,1708434616
c0a7fda9-b573-956d-60a5-dc2a3470,2,1708434016,1708434416,
ae6f300e-2880-2239-6c72-dfa7d4c5,2,1708434016,,
a5d13f11-4e96-4334-dd74-d525acd8,2,,,
ecbbd9cd-ca10-36d4-0a3a-6e101751,2,,,
19a98b71-f8dc-9695-3180-202e2dad,2,1708434016,1708434416,
402d27ea-a121-c4be-ca44-24c63e22,2,1708434016,,
6e1aad64-8196-e386-eee8-13290251,2,,,
4c3e6f07-002b-01d8-f79b-f8a6953f,2,1708434016,1708434316,1708434616
8d82959a-ef60-1925-7f8b-7e261556,2,1708434016,1708434416,
daa179c9-1733-30c3-e6b0-2cbfcbe6,2,1708434016,,
59c8233c-3c4f-5a73-da05-fff6b26d,2,,,
5faedd6b-63a8-2065-a2ee-b136d20c,2,,,
15ea7b61-2612-0642-2ef5-871c507a,2,1708434016,1708434416,
9c93f013-e7a5-1fa7-fc22-effd8a65,2,1708434016,,
ca2ea460-834d-d258-3957-85c09342,2,,,
3431b4aa-4e02-969f-1614-6b092a72,2,1708434016,1708434316,1708434616
35bb540e-d6b6-ca45-1244-31cbffa0,2,1708434016,1708434416,
e14e4b76-548b-4d8e-557d-02db5b82,2,1708434016,,
46332b8c-61bb-a8a5-86bd-41290c65,2,,,
